source_id,material_id,material_class,original_label,property,value,unit,basis,file,sheet,cell,identity_status
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,882.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A881,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,94.88663,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B881,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.19451,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C881,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01642948,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E881,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,883.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A882,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,94.98679,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B882,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.19726,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C882,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01659832,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E882,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,884.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A883,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,95.08698,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B883,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.20013,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C883,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01715693,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E883,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,885.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A884,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,95.1871,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B884,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.2019,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C884,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01874022,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E884,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,886.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A885,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,95.28714,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B885,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.2021,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C885,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01859143,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E885,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,887.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A886,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,95.38707,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B886,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.20222,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C886,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01747214,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E886,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,888.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A887,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,95.48686,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B887,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.20426,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C887,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01519533,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E887,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,889.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A888,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,95.58669,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B888,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.20732,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C888,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01455602,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E888,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,890.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A889,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,95.68663,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B889,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.20931,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C889,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01599191,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E889,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,891.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A890,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,95.78648,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B890,resolved
