source_id,specimen_id,matrix_id,additive_id,additive_fraction_dry,firing_temperature_C,property,value,unit,replicate_id,file,sheet,cell,evidence_status
30156127,mix:R-P1-Raw,R,SSA-P1-Raw,0.3,,mixture_xrf_MgO,2.5949999999999998,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I30,source_derived
30156127,mix:R-P1-Raw,R,SSA-P1-Raw,0.3,,mixture_xrf_Al2O3,12.5453,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I31,source_derived
30156127,mix:R-P1-Raw,R,SSA-P1-Raw,0.3,,mixture_xrf_SiO2,52.776799999999994,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I32,source_derived
30156127,mix:R-P1-Raw,R,SSA-P1-Raw,0.3,,mixture_xrf_P2O5,6.293699999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I33,source_derived
30156127,mix:R-P1-Raw,R,SSA-P1-Raw,0.3,,mixture_xrf_K2O,2.6061,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I34,source_derived
30156127,mix:R-P1-Raw,R,SSA-P1-Raw,0.3,,mixture_xrf_CaO,6.7655,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I35,source_derived
30156127,mix:R-P1-Raw,R,SSA-P1-Raw,0.3,,mixture_xrf_TiO2,0.8324999999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I36,source_derived
30156127,mix:R-P1-Raw,R,SSA-P1-Raw,0.3,,mixture_xrf_MnO,0.1061,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I37,source_derived
30156127,mix:R-P1-Raw,R,SSA-P1-Raw,0.3,,mixture_xrf_Fe2O3,7.916799999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I38,source_derived
30156127,mix:R-P1-Raw,R,SSA-P1-Raw,0.3,,mixture_xrf_Total,99.9993,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,I39,source_derived
30156127,mix:R-P1-ED,R,SSA-P1-ED,0.3,,mixture_xrf_Na2O,0.6103999999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J29,source_derived
30156127,mix:R-P1-ED,R,SSA-P1-ED,0.3,,mixture_xrf_MgO,2.2275,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J30,source_derived
30156127,mix:R-P1-ED,R,SSA-P1-ED,0.3,,mixture_xrf_Al2O3,11.758099999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J31,source_derived
30156127,mix:R-P1-ED,R,SSA-P1-ED,0.3,,mixture_xrf_SiO2,53.7146,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J32,source_derived
30156127,mix:R-P1-ED,R,SSA-P1-ED,0.3,,mixture_xrf_P2O5,5.0724,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J33,source_derived
30156127,mix:R-P1-ED,R,SSA-P1-ED,0.3,,mixture_xrf_K2O,2.3964,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J34,source_derived
30156127,mix:R-P1-ED,R,SSA-P1-ED,0.3,,mixture_xrf_CaO,5.3255,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J35,source_derived
30156127,mix:R-P1-ED,R,SSA-P1-ED,0.3,,mixture_xrf_TiO2,0.9144,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J36,source_derived
30156127,mix:R-P1-ED,R,SSA-P1-ED,0.3,,mixture_xrf_MnO,0.10039999999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J37,source_derived
