source_id,material_id,temperature_C,relative_humidity_percent,time_min,moisture_ratio,readout_bound_MR,experimental_uncertainty_MR,source_kind,upstream_observation_kind,locator,image,pixel_x,pixel_y,method,calibration_role,independent_material
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,0,1.0,0.0,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,96,31.0,initial_normalization_defined_by_source_eq2,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,10,0.947692,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,113,48.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,20,0.883077,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,130,69.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,30,0.815385,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,147,91,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,40,0.744615,0.015385,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,164,114,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,50,0.686154,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,180,133,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,60,0.627692,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,197,152,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,70,0.563077,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,214,173,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,80,0.501538,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,231,193.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,90,0.446154,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,248,211.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,100,0.390769,0.015385,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,265,229,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,110,0.335385,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,282,247.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,120,0.286154,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,299,263.0,color_symbol_pixel_readout,unassigned,False
