dt_s,time_s,solid_mol,product_gas_mol,carrier_mol,temperature_k,pressure_pa,internal_energy_j,temperature_error_bound_k,error_solid_mol,error_temperature_k,error_pressure_pa,error_energy_j,error_carbon_mol,error_nitrogen_mol,error_mass_kg,error_prefix_energy_j
0.03125,1.40625,0.0024507472748561496,0.007549252725143846,0.01,352.9741517612908,515160.03519844933,-23.473387854459705,1.0723221752744624e-09,1.4188240089058057e-07,0.0014186238334445989,6.228135859186295,0.0,5.204170427930421e-18,0.0,5.421010862427522e-20,0.0
0.03125,1.4375,0.002375348764119748,0.007624651235880248,0.01,353.731237094158,518479.1567134848,-23.473387854459705,1.0456153640676356e-09,1.4057316516684001e-07,0.0014175381264749376,6.205831976723857,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.03125,1.46875,0.0023022699276637557,0.007697730072336241,0.01,354.47121374490416,521714.2776394904,-23.473387854459705,1.019423335612125e-09,1.3921019014102864e-07,0.001415462499323894,6.179843647812959,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.03125,1.5,0.002231439399506078,0.007768560600493919,0.01,355.19430604205746,524867.0977140879,-23.473387854459705,9.93891362263666e-10,1.377980217796143e-07,0.001412436698728925,6.150353667791933,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.03125,1.53125,0.0021627880092760657,0.007837211990723932,0.01,355.9007443036923,527939.3021200028,-23.473387854459705,9.68968471394251e-10,1.3634097719263452e-07,0.0014085002982824335,6.117540984065272,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.03125,1.5625,0.002096248714665391,0.007903751285334607,0.01,356.5907642476467,530932.5607474272,-23.473387854459705,9.44541183528744e-10,1.3484315441276637e-07,0.0014036926143603523,6.0815805925522,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.03125,1.59375,0.0020317565359571055,0.007968243464042893,0.01,357.26460642115893,533848.527482599,-23.473387854459705,9.206403879947492e-10,1.3330844178798679e-07,0.0013980526282466599,6.042643446824513,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.03125,1.625,0.001969248492568948,0.00803075150743105,0.01,357.922515650414,536688.839524993,-23.473387854459705,8.972509868409087e-10,1.3174052700777247e-07,0.0013916189137717083,6.000896377721801,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.03125,1.65625,0.00190866354154893,0.008091336458451068,0.01,358.5647405103783,539455.1167351616,-23.473387854459705,8.744585766946872e-10,1.3014290576674262e-07,0.0013844295704075193,5.956502024899237,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.03125,1.6875,0.001849942517963133,0.008150057482036864,0.01,359.1915328151974,542148.9610149335,-23.473387854459705,8.521862407558421e-10,1.2851889009003054e-07,0.0013765221626726998,5.909618778969161,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
