scenario_id,tau,cell_index,xi_left,xi_right,u,v,f
R01,0.90000000000000002,3,0.20000000000000001,0.26666666666666666,0.39186056672635078,0.60813943327364917,0.5994902814520463
R01,0.90000000000000002,4,0.26666666666666666,0.33333333333333331,0.39816182078503298,0.60183817921496707,0.59753198176886646
R01,0.90000000000000002,5,0.33333333333333331,0.40000000000000002,0.40610943019808676,0.59389056980191324,0.59504271725751723
R01,0.90000000000000002,6,0.40000000000000002,0.46666666666666667,0.41575018663383867,0.58424981336616133,0.59199517161498583
R01,0.90000000000000002,7,0.46666666666666667,0.53333333333333333,0.42713963597973453,0.57286036402026541,0.58835688888609394
R01,0.90000000000000002,8,0.53333333333333333,0.59999999999999998,0.44034170456311922,0.55965829543688084,0.58409050977487298
R01,0.90000000000000002,9,0.59999999999999998,0.66666666666666663,0.45542822585901716,0.54457177414098301,0.57915409763839421
R01,0.90000000000000002,10,0.66666666666666663,0.73333333333333328,0.47247835030972074,0.52752164969027937,0.57350157754339093
R01,0.90000000000000002,11,0.73333333333333328,0.80000000000000004,0.49157781846994675,0.50842218153005336,0.56708331477330454
R01,0.90000000000000002,12,0.80000000000000004,0.8666666666666667,0.51281807551810399,0.48718192448189623,0.55984686159987507
R01,0.90000000000000002,13,0.8666666666666667,0.93333333333333335,0.5362952034128714,0.46370479658712871,0.55173790260531863
R01,0.90000000000000002,14,0.93333333333333335,1,0.56210864584633213,0.43789135415366803,0.54270142886938211
R01,1,0,0,0.066666666666666666,0.37343545806984235,0.62656454193015776,0.5800489184462343
R01,1,1,0.066666666666666666,0.13333333333333333,0.37504404542570419,0.62495595457429576,0.57949919592149879
R01,1,2,0.13333333333333333,0.20000000000000001,0.378269905827741,0.621730094172259,0.57839435190676003
R01,1,3,0.20000000000000001,0.26666666666666666,0.38313035278312063,0.61686964721687954,0.5767236308353958
R01,1,4,0.26666666666666666,0.33333333333333331,0.38965120949180598,0.61034879050819413,0.57447100862621547
R01,1,5,0.33333333333333331,0.40000000000000002,0.39786662571536713,0.60213337428463287,0.57161533320547675
R01,1,6,0.40000000000000002,0.46666666666666667,0.40781882250312601,0.59218117749687404,0.56813052750860271
R01,1,7,0.46666666666666667,0.53333333333333333,0.41955775527394057,0.58044224472605954,0.56398586827793395
R01,1,8,0.53333333333333333,0.59999999999999998,0.43314068342629752,0.56685931657370248,0.55914635711277194
R01,1,9,0.59999999999999998,0.66666666666666663,0.44863163241279946,0.55136836758720054,0.55357320311703995
R01,1,10,0.66666666666666663,0.73333333333333328,0.46610073214290104,0.53389926785709885,0.5472244389499773
R01,1,11,0.73333333333333328,0.80000000000000004,0.48562341377836837,0.5143765862216314,0.54005569386683328
R01,1,12,0.80000000000000004,0.8666666666666667,0.50727944560606797,0.49272055439393192,0.53202114810701451
