scenario_id,tau_left,tau_right,integral_J_u,integral_J_v,integral_q_body
R01,15.700000000000001,15.800000000000001,-2.1454363008599486e-05,2.1454363008599486e-05,4.3394033522048403e-07
R01,15.800000000000001,15.9,-1.9954550012135641e-05,1.9954550012135641e-05,3.9266504003876435e-07
R01,15.9,16,-1.8558824887771053e-05,1.8558824887771053e-05,3.5531451181292084e-07
R01,16,16.100000000000001,-1.7260037505462122e-05,1.7260037505462122e-05,3.2151574558270113e-07
R01,16.100000000000001,16.199999999999999,-1.6051521723792206e-05,1.6051521723792206e-05,2.9093116227230098e-07
R01,16.199999999999999,16.300000000000001,-1.4927063333836088e-05,1.4927063333836088e-05,2.6325523738712775e-07
R01,16.300000000000001,16.400000000000002,-1.3880870054272521e-05,1.3880870054272521e-05,2.3821146966085394e-07
R01,16.400000000000002,16.5,-1.2907543452733705e-05,1.2907543452733705e-05,2.1554961837644271e-07
R01,16.5,16.600000000000001,-1.2002052699022769e-05,1.2002052699022769e-05,1.9504322645857997e-07
R01,16.600000000000001,16.699999999999999,-1.1159709991659383e-05,1.1159709991659383e-05,1.7648734540465227e-07
R01,16.699999999999999,16.800000000000001,-1.0376147585811069e-05,1.0376147585811069e-05,1.5969650668523627e-07
R01,16.800000000000001,16.900000000000002,-9.6472963335703099e-06,9.6472963335703099e-06,1.4450287211253965e-07
R01,16.900000000000002,17,-8.9693656097900032e-06,8.9693656102340924e-06,1.3075454741162673e-07
R01,17,17.100000000000001,-8.3388245488702495e-06,8.3388245488702495e-06,1.1831408408546906e-07
R01,17.100000000000001,17.199999999999999,-7.7523845436466843e-06,7.7523845436466843e-06,1.0705709296843224e-07
R01,17.199999999999999,17.300000000000001,-7.2069828538356973e-06,7.2069828538356973e-06,9.6871018318012148e-08
R01,17.300000000000001,17.400000000000002,-6.6997673391355761e-06,6.6997673391355761e-06,8.7653996505565601e-08
R01,17.400000000000002,17.5,-6.2280821735427594e-06,6.2280821735427594e-06,7.9313857481722039e-08
R01,17.5,17.600000000000001,-5.7894545211212289e-06,5.7894545211212289e-06,7.1767189968596767e-08
R01,17.600000000000001,17.699999999999999,-5.3815820990621432e-06,5.3815820990621432e-06,6.4938520782931164e-08
R01,17.699999999999999,17.800000000000001,-5.0023215558692158e-06,5.0023215558692158e-06,5.8759541232689116e-08
R01,17.800000000000001,17.900000000000002,-4.649677651125117e-06,4.649677651125117e-06,5.3168454750007754e-08
R01,17.900000000000002,18,-4.3217931309236235e-06,4.3217931309236235e-06,4.8109329187084882e-08
R01,18,18.100000000000001,-4.0169393007438714e-06,4.0169393007438714e-06,4.3531563687082553e-08
R01,18.100000000000001,18.199999999999999,-3.7335072322619567e-06,3.7335072322619567e-06,3.9389358441610511e-08
R01,18.199999999999999,18.300000000000001,-3.4699995508091774e-06,3.4699995508091774e-06,3.5641277484899092e-08
R01,18.300000000000001,18.400000000000002,-3.2250227819385913e-06,3.2250227819385913e-06,3.2249824144514605e-08
R01,18.400000000000002,18.5,-2.9972802215727512e-06,2.9972802215727512e-06,2.9181069116646086e-08
R01,18.5,18.600000000000001,-2.7855652748876025e-06,2.7855652748876025e-06,2.6404308073324501e-08
R01,18.600000000000001,18.699999999999999,-2.5887552650427637e-06,2.5887552650427637e-06,2.3891763456518333e-08
R01,18.699999999999999,18.800000000000001,-2.4058056440345865e-06,2.4058056440345865e-06,2.1618294043790343e-08
R01,18.800000000000001,18.900000000000002,-2.2357446034515505e-06,2.2357446034515505e-06,1.9561150033098329e-08
R01,18.900000000000002,19,-2.0776680604850384e-06,2.0776680604850384e-06,1.769975366272547e-08
R01,19,19.100000000000001,-1.9307349741204405e-06,1.9307349741204405e-06,1.6015478498943025e-08
R01,19.100000000000001,19.200000000000003,-1.7941629810724891e-06,1.7941629810724891e-06,1.4491470023969555e-08
R01,19.200000000000003,19.300000000000001,-1.6672243456916647e-06,1.6672243456916647e-06,1.3112481767052486e-08
R01,19.300000000000001,19.400000000000002,-1.5492421692187008e-06,1.5492421692187008e-06,1.1864707438746791e-08
R01,19.400000000000002,19.5,-1.4395868594974104e-06,1.4395868594974104e-06,1.0735672351103176e-08
R01,19.5,19.600000000000001,-1.3376728609237887e-06,1.3376728609237887e-06,9.7140708810172782e-09
R01,19.600000000000001,19.700000000000003,-1.2429555873438858e-06,1.2429555873438858e-06,8.7896827594136084e-09
R01,19.700000000000003,19.800000000000001,-1.1549285763301498e-06,1.154928576774239e-06,7.9532589403186194e-09
R01,19.800000000000001,19.900000000000002,-1.0731208446301821e-06,1.0731208446301821e-06,7.1964243453237486e-09
R01,19.900000000000002,20,-9.9709441059303572e-07,9.9709441059303572e-07,6.5116116942931512e-09
R02,0,0.10000000000000001,-0.043338816761824418,0.043338816761824404,0.78937428395096609
R02,0.10000000000000001,0.20000000000000001,-0.068476877765201727,0.068476877765201727,0.19386987386403087
R02,0.20000000000000001,0.30000000000000004,-0.072427001182939071,0.072427001182939071,0.10151656429524192
R02,0.30000000000000004,0.40000000000000002,-0.072606766286405833,0.072606766286405833,0.076327808695290766
R02,0.40000000000000002,0.5,-0.071717078369027021,0.071717078369027021,0.067234719452249347
R02,0.5,0.60000000000000009,-0.070452653335847049,0.070452653335847215,0.062781677576599249
R02,0.60000000000000009,0.70000000000000007,-0.069036966153325607,0.069036966153325552,0.059780924959502935
R02,0.70000000000000007,0.80000000000000004,-0.067554064203727782,0.067554064203727671,0.057256566238256479
R02,0.80000000000000004,0.90000000000000002,-0.066041007989655842,0.066041007989655842,0.05489239452198369
R02,0.90000000000000002,1,-0.064516987096936207,0.064516987096936207,0.052579461354628876
R02,1,1.1000000000000001,-0.062992982754819016,0.062992982754819016,0.050273984026690144
R02,1.1000000000000001,1.2000000000000002,-0.061474997228226358,0.061474997228226358,0.047950272596577914
R02,1.2000000000000002,1.3,-0.059965121137395161,0.059965121137395161,0.045584756378800773
R02,1.3,1.4000000000000001,-0.058461923830935736,0.058461923830935736,0.043151065275728984
R02,1.4000000000000001,1.5,-0.056960696410467526,0.056960696410467526,0.040619639352800885
R02,1.5,1.6000000000000001,-0.055453736703119594,0.055453736703119594,0.037959743197371276
R02,1.6000000000000001,1.7000000000000002,-0.053930750258810445,0.053930750258810445,0.035143280437131441
R02,1.7000000000000002,1.8,-0.052379415196895041,0.052379415196895041,0.032150278206074079
R02,1.8,1.9000000000000001,-0.050786165608628808,0.050786165608628808,0.028975853290022391
