source_row,time_min,temperature_c,dta_uv,mass_ug,dtg_ug_min,time_s,temperature_k,mass_kg
9176,76.24166666666666,784.83636474609398,13.000907659530601,2529.2828369140602,1.9248046875,4574.49999999999960,1057.98636474609398,0.0000025292828369140602
9177,76.25,784.92169189453102,13.000451803207399,2529.2261962890602,1.93359375,4575.00,1058.07169189453102,0.0000025292261962890602
9178,76.25833333333334,785.005859375,13.0000131130219,2529.2032470703102,1.755859375,4575.50000000000040,1058.155859375,0.0000025292032470703102
9179,76.266666666666666,785.091796875,13.000050306320199,2529.1959228515602,1.51513671875,4575.999999999999960,1058.241796875,0.0000025291959228515602
9180,76.275000000000006,785.18310546875,12.999659299850499,2529.1676025390602,1.48828125,4576.500000000000360,1058.33310546875,0.0000025291676025390602
9181,76.283333333333331,785.26843261718795,12.9989793300629,2529.1280517578102,1.197265625,4576.999999999999860,1058.41843261718795,0.0000025291280517578102
9182,76.291666666666671,785.35137939453102,12.998186826705901,2529.1070556640602,0.9794921875,4577.500000000000260,1058.50137939453102,0.0000025291070556640602
9183,76.3,785.43377685546898,12.9974019527435,2529.0845947265602,1.0517578125,4578.0,1058.58377685546898,0.0000025290845947265602
9184,76.308333333333337,785.51971435546898,12.9966609477997,2529.0938720703102,0.79833984375,4578.500000000000220,1058.66971435546898,0.0000025290938720703102
9185,76.316666666666663,785.60510253906295,12.9955193996429,2529.1148681640602,0.63818359375,4578.999999999999780,1058.75510253906295,0.0000025291148681640602
9186,76.325000000000003,785.68804931640602,12.994093656539899,2529.1109619140602,0.60595703125,4579.500000000000180,1058.83804931640602,0.0000025291109619140602
9187,76.333333333333329,785.76922607421898,12.992822408676099,2529.1470947265602,0.61572265625,4579.999999999999740,1058.91922607421898,0.0000025291470947265602
9188,76.341666666666669,785.85223388671898,12.991673231124899,2529.1676025390602,0.76611328125,4580.500000000000140,1059.00223388671898,0.0000025291676025390602
9189,76.349999999999994,785.93402099609398,12.9899461269379,2529.1470947265602,0.9375,4580.999999999999640,1059.08402099609398,0.0000025291470947265602
