scenario_id,tau,xi,u,v,f
base,0.30000000000000004,0.7666666666666667,0.6561279601215075,0.34387203987849235,0.7877537813381936
base,0.30000000000000004,0.8333333333333334,0.6687193500226298,0.33128064997737006,0.7862153293458394
base,0.30000000000000004,0.9,0.6833211004442454,0.31667889955575435,0.7843441505112045
base,0.30000000000000004,0.9666666666666667,0.7001677013367356,0.2998322986632641,0.7820788710983047
base,0.4,0.03333333333333333,0.5320274010675312,0.4679725989324688,0.7497762528566942
base,0.4,0.1,0.532922337269804,0.4670776627301962,0.7496680433702101
base,0.4,0.16666666666666666,0.5347279665378865,0.4652720334621135,0.7494479694491875
base,0.4,0.23333333333333334,0.5374758187068722,0.46252418129312795,0.7491086525613947
base,0.4,0.3,0.5412132265599781,0.4587867734400219,0.7486388537672295
base,0.4,0.36666666666666664,0.5460033651643159,0.4539966348356841,0.7480232696971626
base,0.4,0.43333333333333335,0.5519252937214643,0.4480747062785356,0.7472422630397964
base,0.4,0.5,0.5590739906452087,0.4409260093547911,0.7462715302581109
base,0.4,0.5666666666666667,0.5675603699724737,0.43243963002752617,0.745081710658267
base,0.4,0.6333333333333333,0.577511264375324,0.42248873562467604,0.7436379428696509
base,0.4,0.7,0.5890693568871376,0.41093064311286254,0.7418993774021375
base,0.4,0.7666666666666667,0.6023930398880515,0.3976069601119486,0.7398186573885391
base,0.4,0.8333333333333334,0.6176561757993042,0.3823438242006959,0.73734138407298
base,0.4,0.9,0.6350477292142551,0.3649522707857449,0.7344055892524595
base,0.4,0.9666666666666667,0.6547712347001944,0.34522876529980573,0.7309412438933214
base,0.5,0.03333333333333333,0.480715808114145,0.5192841918858553,0.712849086457503
base,0.5,0.1,0.48181609519666024,0.5181839048033401,0.7126747999808907
base,0.5,0.16666666666666666,0.48403091682381666,0.5159690831761836,0.7123217679321276
base,0.5,0.23333333333333334,0.4873887630814488,0.5126112369185514,0.7117810157932285
base,0.5,0.3,0.4919323550658844,0.5080676449341158,0.7110389421365695
base,0.5,0.36666666666666664,0.49771862256092525,0.5022813774390751,0.7100771544137028
base,0.5,0.43333333333333335,0.504818664945671,0.4951813350543293,0.7088722559348466
base,0.5,0.5,0.5133176869581368,0.4866823130418635,0.7073955897505726
base,0.5,0.5666666666666667,0.5233148983643958,0.4766851016356043,0.7056129473780401
base,0.5,0.6333333333333333,0.5349233636784472,0.4650766363215529,0.7034842530996193
base,0.5,0.7,0.5482697847740319,0.4517302152259681,0.7009632380257457
base,0.5,0.7666666666666667,0.5634941954620123,0.4365058045379877,0.6979971223772388
base,0.5,0.8333333333333334,0.5807495428174203,0.41925045718257964,0.694526329613811
base,0.5,0.9,0.6002011252046714,0.3997988747953284,0.6904842621958676
base,0.5,0.9666666666666667,0.6220258515395295,0.3779741484604704,0.685797175943064
base,0.6000000000000001,0.03333333333333333,0.44311582150920736,0.5568841784907925,0.6807371742930918
base,0.6000000000000001,0.1,0.44437527318188913,0.5556247268181107,0.6804902130491053
base,0.6000000000000001,0.16666666666666666,0.4469070240082157,0.5530929759917842,0.6799912602751272
base,0.6000000000000001,0.23333333333333334,0.4507367515114124,0.5492632484885875,0.6792302149952617
