scenario_id,tau_start,tau_end,o2_net_out_increment,co2_net_out_increment
reaction_slow,13.200000000000001,13.3,-0.0064639768251211205,0.0064639768251211205
reaction_slow,13.3,13.4,-0.0064114451086352275,0.0064114451086352275
reaction_slow,13.4,13.5,-0.006359253641108342,0.006359253641108342
reaction_slow,13.5,13.600000000000001,-0.0063074015536845884,0.0063074015536845884
reaction_slow,13.600000000000001,13.700000000000001,-0.006255887955338046,0.006255887955338046
reaction_slow,13.700000000000001,13.8,-0.006204711933670115,0.006204711933670115
reaction_slow,13.8,13.9,-0.006153872555610285,0.006153872555610285
reaction_slow,13.9,14.0,-0.0061033688681064735,0.0061033688681064735
reaction_slow,14.0,14.100000000000001,-0.006053199898772066,0.006053199898772066
reaction_slow,14.100000000000001,14.200000000000001,-0.006003364656516741,0.006003364656516741
reaction_slow,14.200000000000001,14.3,-0.005953862132122456,0.005953862132122456
reaction_slow,14.3,14.4,-0.0059046912988214295,0.0059046912988214295
reaction_slow,14.4,14.5,-0.005855851112821275,0.005855851112821275
reaction_slow,14.5,14.600000000000001,-0.005807340513836801,0.005807340513836801
reaction_slow,14.600000000000001,14.700000000000001,-0.005759158425576061,0.005759158425576061
reaction_slow,14.700000000000001,14.8,-0.005711303756223307,0.005711303756223307
reaction_slow,14.8,14.9,-0.0056637753988995065,0.0056637753988995065
reaction_slow,14.9,15.0,-0.005616572232097772,0.005616572232097772
reaction_slow,15.0,15.100000000000001,-0.00556969312011768,0.00556969312011768
reaction_slow,15.100000000000001,15.200000000000001,-0.005523136913484938,0.005523136913484938
reaction_slow,15.200000000000001,15.3,-0.00547690244933996,0.00547690244933996
reaction_slow,15.3,15.4,-0.0054309885518391,0.0054309885518391
reaction_slow,15.4,15.5,-0.005385394032522806,0.005385394032522806
reaction_slow,15.5,15.600000000000001,-0.005340117690691315,0.005340117690691315
reaction_slow,15.600000000000001,15.700000000000001,-0.005295158313761483,0.005295158313761483
reaction_slow,15.700000000000001,15.8,-0.005250514677610063,0.005250514677610063
reaction_slow,15.8,15.9,-0.005206185546922981,0.005206185546922981
reaction_slow,15.9,16.0,-0.005162169675521078,0.005162169675521078
reaction_slow,16.0,16.1,-0.0051184658066898425,0.0051184658066898425
reaction_slow,16.1,16.2,-0.0050750726734960505,0.0050750726734960505
reaction_slow,16.2,16.3,-0.005031988999101955,0.005031988999101955
reaction_slow,16.3,16.400000000000002,-0.004989213497060607,0.004989213497060607
reaction_slow,16.400000000000002,16.5,-0.004946744871642483,0.004946744871642483
reaction_slow,16.5,16.6,-0.004904581818093501,0.004904581818093501
reaction_slow,16.6,16.7,-0.004862723022958093,0.004862723022958093
reaction_slow,16.7,16.8,-0.004821167164337226,0.004821167164337226
reaction_slow,16.8,16.900000000000002,-0.004779912912189932,0.004779912912189932
reaction_slow,16.900000000000002,17.0,-0.00473895892858911,0.00473895892858911
reaction_slow,17.0,17.1,-0.004698303868009734,0.004698303868009734
reaction_slow,17.1,17.2,-0.004657946377580879,0.004657946377580879
reaction_slow,17.2,17.3,-0.004617885097361718,0.004617885097361718
reaction_slow,17.3,17.400000000000002,-0.004578118660586661,0.004578118660586661
reaction_slow,17.400000000000002,17.5,-0.004538645693931809,0.004538645693931809
reaction_slow,17.5,17.6,-0.004499464817764087,0.004499464817764087
reaction_slow,17.6,17.7,-0.004460574646384607,0.004460574646384607
reaction_slow,17.7,17.8,-0.004421973788277356,0.004421973788277356
reaction_slow,17.8,17.900000000000002,-0.004383660846353443,0.004383660846353443
reaction_slow,17.900000000000002,18.0,-0.00434563441818181,0.00434563441818181
reaction_slow,18.0,18.1,-0.004307893096227922,0.004307893096227922
reaction_slow,18.1,18.2,-0.004270435468093581,0.004270435468093581
