scenario_id,tau,u_core,u_surface,carbon_mean,carbon_max,co2_body,co2_generated,co2_net_out,u_res,v_res
base,9.4,0.972586956948883,0.9821887049562669,0.0011973142461038505,0.001595173410078758,0.02412867663700678,1.9976053715077922,1.9734766948707825,,
base,9.5,0.9742951884328463,0.9832967885916625,0.0010859897403373475,0.0014472099644824365,0.02262614942544318,1.9978280205193246,1.9752018710938795,,
base,9.600000000000001,0.9759042152416888,0.9843406829103425,0.0009848678600597935,0.0013127534605841995,0.021210788240661863,1.99803026427988,1.9768194760392164,,
base,9.700000000000001,0.9774190867883248,0.9853236413927058,0.0008930354108647397,0.001190603028648993,0.019878164198714188,1.9982139291782697,1.9783357649795543,,
base,9.8,0.9788446667288675,0.9862487988970295,0.0008096577458588615,0.001079659872659438,0.01862401074515406,1.9983806845082823,1.9797566737631256,,
base,9.9,0.9801856322209636,0.9871191711015787,0.0007339724705998374,0.0009789192746796362,0.017444224349256313,1.9985320550588004,1.981087830709541,,
base,10.0,0.9814464742101932,0.9879376546037116,0.000665283586049066,0.0008874631267107145,0.01633486429990397,1.9986694328279038,1.9823345685279934,,
base,10.100000000000001,0.9826314986248961,0.9887070276014887,0.0006029560488029383,0.0008044529699655378,0.015292151706557903,1.9987940879023949,1.9835019361958324,,
base,10.200000000000001,0.9837448283670791,0.989429951087538,0.0005464107273088585,0.0007291235198089052,0.014312467802598426,1.998907178545383,1.984594710742781,,
base,10.3,0.9847904059945536,0.9901089704893318,0.0004951197325371257,0.0006607766534603151,0.013392351641992357,1.9990097605349262,1.9856174088929304,,
base,10.4,0.9857719969970316,0.9907465176945484,0.0004486021016148446,0.0005987758368608965,0.012528497273810509,1.9991027957967695,1.9865742985229566,,
base,10.5,0.9866931935764267,0.9913449134047283,0.0004064198131860226,0.0005425409667931874,0.011717750472698359,1.9991871603736273,1.9874694099009258,,
base,10.600000000000001,0.9875574188490063,0.9919063697649368,0.00036817411370113393,0.0004915436043484484,0.01095710509707114,1.9992636517725986,1.9883065466755232,,
base,10.700000000000001,0.9883679313942346,0.992432993221542,0.00033350213442261237,0.00044530257610395617,0.010243699140630402,1.9993329957311547,1.9890892965905214,,
base,10.8,0.989127830082064,0.9929267875644989,0.0003020737796276329,0.00040337991985207693,0.009574810536835324,1.9993958524407445,1.989821041903907,,
base,10.9,0.9898400591170543,0.9933896571146354,0.0002735888672681584,0.0003653771523697848,0.008947852770250782,1.9994528222654637,1.9905049694952106,,
base,11.0,0.9905074132439742,0.9938234100203395,0.0002477745041864023,0.0003309318374933118,0.008360370343264223,1.9995044509916267,1.9911440806483607,,
base,11.100000000000001,0.9911325430654438,0.9942297616317769,0.00022438267886119173,0.00029971443363496515,0.007810034141537003,1.9995512346422784,1.9917412005007389,,
base,11.200000000000001,0.9917179604277393,0.9946103379242339,0.00020318805555992532,0.00027142540081960537,0.007294636736745323,1.999593623888881,1.9922989871521344,,
base,11.3,0.99226604383601,0.9949666789454535,0.00018398595467755943,0.00024579254830310945,0.006812087660677624,1.9996320280906457,1.9928199404299662,,
base,11.4,0.9927790438649615,0.9953002422648682,0.00016659050494658662,0.00022256860484446957,0.006360408680590756,1.9996668189901072,1.993306410309515,,
base,11.5,0.9932590885354581,0.9956124064054269,0.0001508329540906922,0.00020152899472050304,0.00593772910188147,1.9996983340918182,1.993760604989936,,
base,11.600000000000001,0.9937081886315371,0.995904474241311,0.00013656012536217058,0.00018246980358406864,0.0055422811205967535,1.9997268797492749,1.9941845986286777,,
base,11.700000000000001,0.9941282429360331,0.9961776763471886,0.00012363300824333207,0.00016520591926237323,0.005172395245075054,1.9997527339835126,1.9945803387384378,,
base,11.8,0.9945210433663518,0.996433174286828,0.0001119254724006018,0.00014956933356286361,0.004826495803068511,1.999776149055197,1.9949496532521311,,
base,11.9,0.9948882799949945,0.9966720638308298,0.00010132309475362304,0.00013540759209378737,0.004503096548030184,1.9997973538104918,1.9952942572624632,,
base,12.0,0.9952315459421522,0.9968953780950345,9.172209025822465e-05,0.00012258238000980237,0.00420079637584416,1.9998165558194807,1.9956157594436403,,
base,12.100000000000001,0.9955523421301723,0.9971040905927303,8.302833770033596e-05,0.00011096823245655203,0.003918275161115504,1.9998339433245977,1.9959156681634853,,
base,12.200000000000001,0.9958520818918684,0.9972991181952272,7.51564924572232e-05,0.00010045135930955051,0.003654289720204593,1.9998496870150837,1.996195397294883,,
base,12.3,0.9961320954266235,0.9974813239966323,6.802917880278506e-05,9.092857458066708e-05,0.0034076699064705253,1.9998639416423916,1.9964562717359258,,
base,12.4,0.9963936340999457,0.9976515200797823,6.157625491556176e-05,8.230632159944573e-05,0.0031773148416655117,1.999876847490166,1.9966995326485044,,
base,12.5,0.9966378745836624,0.9978104701812895,5.573414429240062e-05,7.449978576649546e-05,0.0029621892860801887,1.9998885317114132,1.9969263424253352,,
base,12.600000000000001,0.996865922835267,0.9979588922545354,5.044522777852978e-05,6.743208732289121e-05,0.002761320148864485,1.9998991095444407,1.9971377893955786,,
base,12.700000000000001,0.9970788179160959,0.9980974609301925,4.565729089745042e-05,6.1033547183937615e-05,0.002573793138925093,1.9999086854182035,1.9973348922792804,,
base,12.8,0.9972775356489965,0.9982268098745284,4.132302160306747e-05,5.524101944910582e-05,0.0023987495559152426,1.9999173539567918,1.997518604400879,,
base,12.9,0.9974629921170239,0.9983475340463093,3.739955398344943e-05,4.999728472403893e-05,0.002235383220072671,1.9999252008920312,1.9976898176719593,,
base,13.0,0.9976360470054131,0.9984601918536012,3.384805382219796e-05,4.5250498876945324e-05,0.00208293753901489,1.999932303892353,1.997849366353339,,
base,13.100000000000001,0.9977975067896991,0.9985653072121758,3.0633342271325854e-05,4.0953692302327206e-05,0.0019407027090560744,1.9999387333154552,1.9979980306063991,,
base,13.200000000000001,0.9979481277733611,0.9986633715075774,2.7723554210484334e-05,3.7064315181716876e-05,0.0018080130481565202,1.999944552891577,1.9981365398434208,,
base,13.3,0.9980886189787741,0.9987548454631707,2.5089828163029422e-05,3.354382461585173e-05,0.0016842444572436849,1.999949820343672,1.9982655758864285,,
base,13.4,0.9982196448956013,0.9988401609167377,2.270602491142452e-05,3.0357309857447644e-05,0.001568812006344717,1.9999545879501752,1.9983857759438317,,
base,13.5,0.9983418280910086,0.9989197225083504,2.0548472204430844e-05,2.7473152200320793e-05,0.0014611676417353922,1.999958903055589,1.9984977354138538,,
base,13.600000000000001,0.9984557516862804,0.9989939092823978,1.8595733177984478e-05,2.486271638092609e-05,0.0013607980101322753,1.9999628085336412,1.9986020105235083,,
base,13.700000000000001,0.9985619617045627,0.9990630762067372,1.6828396322065364e-05,2.2500070624219802e-05,0.0012672223958266886,1.999966343207353,1.9986991208115263,,
base,13.8,0.9986609692945472,0.9991275556120104,1.5228885018630666e-05,2.0361732718838915e-05,0.0011799907665743302,1.9999695422299586,1.9987895514633849,,
base,13.9,0.998753252834947,0.9991876585542002,1.3781284852140974e-05,1.8426439738574678e-05,0.0010986819240076794,1.9999724374302925,1.9988737555062843,,
base,14.0,0.9988392599246521,0.9992436761035284,1.2471187055600128e-05,1.667493923956351e-05,0.0010229017543242386,1.999975057625886,1.9989521558715615,,
base,14.100000000000001,0.9989194092634011,0.9992958805627697,1.1285546602538188e-05,1.5089799957011713e-05,0.0009522815750178372,1.9999774289067913,1.9990251473317746,,
base,14.200000000000001,0.9989940924277875,0.9993445266180573,1.0212553590091023e-05,1.3655240203004463e-05,0.0008864765734582911,1.999979574892817,1.99909309831936,,
base,14.3,0.9990636755473203,0.9993898524251853,9.241516681298776e-06,1.2356972329333776e-05,0.0008251643331830903,1.9999815169666353,1.9991563526334528,,
base,14.4,0.9991285008852,0.9994320806343975,8.362757486919513e-06,1.1182061767545218e-05,0.0007680434438401233,1.9999832744850248,1.9992152310411835,,
base,14.5,0.9991888883283413,0.9994714193565495,7.567514869321875e-06,1.0118799293686048e-05,0.0007148321908097493,1.9999848649702612,1.9992700327794481,,
base,14.600000000000001,0.9992451367910682,0.9995080630734916,6.8478582442108145e-06,9.156585288609316e-06,0.0006652673206352583,1.9999863042835124,1.9993210369628729,,
base,14.700000000000001,0.9992975255367802,0.999542193495424,6.1966090408172986e-06,8.285824877134611e-06,0.0006191028785005599,1.9999876067819196,1.9993685039034137,,
base,14.8,0.9993463154217477,0.9995739803678921,5.60726955845298e-06,7.4978329318030175e-06,0.000576109114110786,1.9999887854608847,1.9994126763467677,,
